ID,product_ID,customer_ID,rating,title,comment,approved,createdAt,createdBy,modifiedAt,modifiedBy

77000001-0000-0000-0000-000000000001,55000001-0000-0000-0000-000000000001,8f3a2c10-1b21-4c2f-a9d3-01a7f1a0c101,5,Excellent Phone,Very smooth performance and amazing camera,true,2025-02-10T12:00:00Z,system,2025-02-10T12:00:00Z,system
77000001-0000-0000-0000-000000000002,55000001-0000-0000-0000-000000000001,9a4b3d20-2c32-4d3a-b1e4-02b8f2b1d202,4,Great Display,The OLED screen is very sharp,true,2025-02-10T12:01:00Z,system,2025-02-10T12:01:00Z,system
77000001-0000-0000-0000-000000000003,55000001-0000-0000-0000-000000000001,ab5c4e30-3d43-4e4b-c2f5-03c9a3c2e303,5,Best iPhone,Best iPhone I have used,true,2025-02-10T12:02:00Z,system,2025-02-10T12:02:00Z,system

77000001-0000-0000-0000-000000000004,55000001-0000-0000-0000-000000000002,bc6d5f40-4e54-4f5c-d3a6-04d0b4d3f404,5,Super Camera,Night mode is excellent,true,2025-02-10T12:03:00Z,system,2025-02-10T12:03:00Z,system
77000001-0000-0000-0000-000000000005,55000001-0000-0000-0000-000000000002,cd7e6a50-5f65-406d-e4b7-05e1c5e40505,4,Fast Phone,Very fast and smooth,true,2025-02-10T12:04:00Z,system,2025-02-10T12:04:00Z,system
77000001-0000-0000-0000-000000000006,55000001-0000-0000-0000-000000000002,8f3a2c10-1b21-4c2f-a9d3-01a7f1a0c101,5,Premium Feel,Looks and feels premium,true,2025-02-10T12:05:00Z,system,2025-02-10T12:05:00Z,system

77000001-0000-0000-0000-000000000007,55000001-0000-0000-0000-000000000004,9a4b3d20-2c32-4d3a-b1e4-02b8f2b1d202,5,Perfect Laptop,Great for coding,true,2025-02-10T12:06:00Z,system,2025-02-10T12:06:00Z,system
77000001-0000-0000-0000-000000000008,55000001-0000-0000-0000-000000000004,ab5c4e30-3d43-4e4b-c2f5-03c9a3c2e303,4,Good Battery,Battery lasts long,true,2025-02-10T12:07:00Z,system,2025-02-10T12:07:00Z,system
77000001-0000-0000-0000-000000000009,55000001-0000-0000-0000-000000000004,bc6d5f40-4e54-4f5c-d3a6-04d0b4d3f404,5,Value for Money,Best laptop for this price,true,2025-02-10T12:08:00Z,system,2025-02-10T12:08:00Z,system

77000001-0000-0000-0000-000000000010,55000001-0000-0000-0000-000000000003,cd7e6a50-5f65-406d-e4b7-05e1c5e40505,4,Smooth Performance,Very good for office work,true,2025-02-10T12:09:00Z,system,2025-02-10T12:09:00Z,system
77000001-0000-0000-0000-000000000011,55000001-0000-0000-0000-000000000003,8f3a2c10-1b21-4c2f-a9d3-01a7f1a0c101,5,Excellent Build,Strong and premium build,true,2025-02-10T12:10:00Z,system,2025-02-10T12:10:00Z,system
77000001-0000-0000-0000-000000000012,55000001-0000-0000-0000-000000000003,9a4b3d20-2c32-4d3a-b1e4-02b8f2b1d202,4,Good Keyboard,Very comfortable keyboard,true,2025-02-10T12:11:00Z,system,2025-02-10T12:11:00Z,system
